Date,TransactionType,Amount,Currency,ExchangeRate,Balance,Merchant,Category,Subcategory,Country,City,IsFraud,Notes,CustomerSince,Amount_IDR,BalanceCategory
2024-05-03,CREDIT,106.77,INR,1.0,-144093.87,Walmart,Automotive,Fuel,India,Delhi,TRUE,REPEAT PURCHASE,,20286.3,Negative
2024-08-25,CREDIT,34.25,USD,81.3081,-965108.08,Starbucks,Entertainment,Streaming,Canada,Bengaluru,TRUE,CHARGEBACK REQUESTED,,529112.46075,Negative
2024-09-12,DEBIT,16.08,USD,80.4133,-2783810.24,ShopEasy,Groceries,Supermarket,UK,Jaipur,TRUE,REPEAT PURCHASE,,245678.71415999997,Negative
2025-06-20,DEBIT,83.05,INRR,1.0,-2464156.5,Zomato,Utilities,Internet,UK,Jaipur,TRUE,SUSPECTED FRAUD,2017.0,15779.5,Negative
2024-10-10,DEBIT,42.68,USD,76.2602,-1641954.78,ElectroWorld,Automotive,Repair,UK,Jaipur,TRUE,CASHBACK CREDITED,,618409.21384,Negative
2024-05-10,DEBIT,10.04,INR,1.0,-1641954.78,BigBasket,Education,Course,India,Mumbai,TRUE,MONTHLY SUBSCRIPTION,,1907.6,Negative
2024-11-14,CREDIT,14.87,AED,21.1947,-2466729.79,Myntra,Electronics,Laptop,Canada,Mumbai,TRUE,CHARGEBACK REQUESTED,,59881.38591,Negative
2024-12-14,REFUND,29.71,GBP,92.4582,-1641954.78,Myntra,Entertainment,Concert,USA,Hyderabad,TRUE,CHARGEBACK REQUESTED,,521917.2931800001,Negative
2025-05-16,DEBIT,10.15,USD,80.4977,-1641954.78,BigBasket,Entertainment,Concert,UK,Chennai,TRUE,MONTHLY SUBSCRIPTION,2024.0,155239.81445,Negative
2024-04-16,DEBIT,24.75,GBP,98.6922,-2235670.04,Swiggy,Utilities,Internet,UAE,Bengaluru,TRUE,PROMO APPLIED,2018.0,464100.0705,Negative
2024-08-31,DEBIT,139.02,AED,20.2535,-2866366.7,LocalMart,Groceries,Specialty,UAE,Hyderabad,TRUE,CASHBACK CREDITED,,534971.8983,Negative
2025-08-26,DEBIT,740.61,INR,1.0,-1077085.21,ElectroWorld,Education,Books,USA,Noida,TRUE,MANUAL ADJUSTMENT,,140715.9,Negative
2025-08-19,DEBIT,33.37,INR,1.0,-2680617.09,ElectroWorld,Travel,Taxi,UAE,Hyderabad,TRUE,CASHBACK CREDITED,2019.0,6340.299999999999,Negative
2024-05-27,DEBIT,133.12,USD,77.0508,-1641954.78,Paytm Mall,Entertainment,Movies,Australia,Mumbai,TRUE,PROMO APPLIED,,1948830.47424,Negative
2023-10-11,DEBIT,4.47,INR,1.0,-541895.17,Zomato,Automotive,Fuel,USA,Bengaluru,TRUE,MANUAL ADJUSTMENT,,849.3,Negative
2023-11-12,DEBIT,134.71,USD,74.1184,-1641954.78,ShopEasy,Utilities,Internet,UK,Bengaluru,TRUE,PROMO APPLIED,2018.0,1897053.0361600001,Negative
2024-04-08,CREDIT,65.07,GBP,108.1853,-1604589.22,Zomato,Automotive,Fuel,Canada,Noida,TRUE,REPEAT PURCHASE,,1337527.31949,Negative
2023-12-30,REFUND,2.06,INR,1.0,-1641954.78,ShopEasy,Clothing,Men,Australia,Delhi,TRUE,MONTHLY SUBSCRIPTION,,391.40000000000003,Negative
2024-08-06,DEBIT,4.51,INR,1.0,-2419281.82,Walmart,Health,Pharmacy,Canada,Gurugram,TRUE,MONTHLY SUBSCRIPTION,,856.9,Negative
2024-08-08,DEBIT,7.55,USD,77.3263,-1641954.78,Starbucks,Clothing,Men,UAE,Chennai,TRUE,PROMO APPLIED,,110924.57735,Negative
2024-04-04,DEBIT,16.27,INR,1.0,-1162726.61,Paytm Mall,Clothing,Men,India,Kolkata,TRUE,CHARGEBACK REQUESTED,,3091.2999999999997,Negative
2025-05-27,DEBIT,7.84,AED,19.3642,-1641954.78,Paytm Mall,Clothing,Women,USA,Pune,TRUE,MANUAL ADJUSTMENT,,28844.91232,Negative
2024-07-10,REFUND,121.42,GBP,108.7271,-1641954.78,Swiggy,Health,Pharmacy,India,Hyderabad,TRUE,CHARGEBACK REQUESTED,2018.0,2508312.45158,Negative
2025-02-13,CREDIT,49.02,USD,75.4365,-1641954.78,Paytm Mall,Clothing,Men,UAE,Jaipur,TRUE,REPEAT PURCHASE,2024.0,702600.4737,Negative
2024-08-17,DEBIT,30.81,INR,1.0,-1641954.78,BigBasket,Groceries,Specialty,India,Noida,TRUE,,,5853.9,Negative
2023-12-09,REFUND,33.37,USD,78.6113,-1641954.78,ShopEasy,Clothing,Men,USA,Mumbai,TRUE,PROMO APPLIED,2025.0,498419.2253899999,Negative
2024-03-31,DEBIT,47.29,INR,1.0,-159515.16,Amazon,Dining,FastFood,Australia,Bengaluru,TRUE,MONTHLY SUBSCRIPTION,,8985.1,Negative
2025-02-03,REFUND,33.37,AED,18.4318,-538125.35,Zomato,Entertainment,Concert,UK,Mumbai,TRUE,MONTHLY SUBSCRIPTION,2021.0,116863.14153999998,Negative
2023-10-31,DEBIT,37.53,INR,1.0,-558165.12,Zomato,Entertainment,Streaming,UK,Hyderabad,TRUE,REPEAT PURCHASE,2026.0,7130.7,Negative
2024-09-27,CREDIT,200.52,GBP,102.9324,-554069.5,ElectroWorld,Dining,FastFood,India,Bengaluru,TRUE,PROMO APPLIED,2018.0,3921600.92112,Negative
2025-04-11,DEBIT,7.44,AED,18.9825,-280484.11,BigBasket,Clothing,Men,Australia,Bengaluru,TRUE,CASHBACK CREDITED,2017.0,26833.662000000004,Negative
2024-01-11,DEBIT,62.7,USD,75.2344,-1807800.08,LocalMart,Entertainment,Concert,Australia,Gurugram,TRUE,CASHBACK CREDITED,,896267.4071999999,Negative
2025-05-03,DEBIT,3.35,INR,1.0,-2119765.95,Paytm Mall,Electronics,Laptop,UAE,Pune,TRUE,,2016.0,636.5,Negative
2025-03-19,CREDIT,33.37,INR,1.0,-2230268.97,ShopEasy,Groceries,Specialty,Australia,Delhi,TRUE,CHARGEBACK REQUESTED,,6340.299999999999,Negative
2025-03-12,CREDIT,51.11,GBP,104.2049,-1807774.53,Myntra,Entertainment,Streaming,Canada,Bengaluru,TRUE,REPEAT PURCHASE,,1011923.36341,Negative
2025-07-14,DEBIT,9.8,USD,81.3277,-1641954.78,Walmart,Automotive,Repair,UK,Kolkata,TRUE," -- VERIFY
CONTACT SUPPORT",,151432.1774,Negative
2024-12-31,DEBIT,33.37,USD,72.1534,-537998.07,BigBasket,Utilities,Electricity,UK,Noida,TRUE,MANUAL ADJUSTMENT,,457474.20201999997,Negative
2024-09-16,CREDIT,116.31,USD,80.1416,-2626456.33,Amazon,Entertainment,Movies,UAE,Hyderabad,TRUE,REPEAT PURCHASE,,1771041.2042399999,Negative
2024-01-24,DEBIT,76.36,USD,79.4491,-2229955.54,LocalMart,Utilities,Internet,UAE,Chennai,TRUE,MONTHLY SUBSCRIPTION,,1152679.32244,Negative
2023-12-29,DEBIT,33.37,USD,78.1248,-2582097.81,Reliance,Travel,Flight,UK,Gurugram,TRUE,CHARGEBACK REQUESTED,2016.0,495334.66943999997,Negative
2023-11-23,CREDIT,2.99,GBP,108.6389,-1198244.24,Flipkart,Automotive,Repair,UAE,Gurugram,TRUE,REPEAT PURCHASE,,61717.75909000001,Negative
2023-12-18,DEBIT,30.66,USD,74.8373,-556084.2,Swiggy,Groceries,Supermarket,USA,Mumbai,TRUE,,2021.0,435957.20742,Negative
2023-12-06,CREDIT,12.59,INR,1.0,-1641954.78,ShopEasy,Education,Course,Canada,Pune,TRUE,SUSPECTED FRAUD,,2392.1,Negative
2024-10-30,REFUND,33.37,USD,76.854,-540444.3,Reliance,Clothing,Men,USA,Kolkata,TRUE,REPEAT PURCHASE,,487277.4162,Negative
2024-08-16,DEBIT,173.77,AED,20.0875,-1412964.73,Paytm Mall,Education,Course,USA,Chennai,TRUE,REPEAT PURCHASE,,663214.92625,Negative
2024-12-01,DEBIT,59.08,USD,72.0087,-160861.6,Starbucks,Electronics,Laptop,Canada,Delhi,TRUE,SUSPECTED FRAUD,,808312.05924,Negative
2023-11-13,DEBIT,424.0,INR,1.0,-1985416.59,BigBasket,Automotive,Fuel,UAE,Hyderabad,TRUE,REPEAT PURCHASE,,80560.0,Negative
2024-06-26,CREDIT,31.18,GBP,93.8799,-1558063.5,Reliance,Clothing,Women,UAE,Mumbai,TRUE,CHARGEBACK REQUESTED,2019.0,556163.3035800001,Negative
2025-06-24,DEBIT,31.37,INR,1.0,-2902030.33,ShopEasy,Clothing,Women,USA,Gurugram,TRUE,SUSPECTED FRAUD,,5960.3,Negative
2024-01-22,DEBIT,66.96,INR,1.0,-1078153.24,Zomato,Electronics,Laptop,India,Pune,TRUE,SUSPECTED FRAUD,2024.0,12722.4,Negative
2025-06-23,DEBIT,71.43,INR,1.0,-1984854.17,Amazon,Entertainment,Concert,India,Mumbai,TRUE,CASHBACK CREDITED,,13571.7,Negative
2025-09-03,REFUND,66.91,INR,1.0,-1641954.78,Swiggy,Electronics,Laptop,Canada,Jaipur,TRUE,REPEAT PURCHASE,2018.0,12712.9,Negative
2024-02-14,REFUND,10.23,GBP,92.614,-1641954.78,Swiggy,Education,Course,Australia,Gurugram,TRUE,SUSPECTED FRAUD,2022.0,180013.8318,Negative
2023-12-15,DEBIT,6.15,USD,78.2158,-1641954.78,Flipkart,Utilities,Electricity,USA,Mumbai,TRUE,MONTHLY SUBSCRIPTION,,91395.1623,Negative
2023-11-22,CREDIT,31.07,USD,78.395,-1558830.66,AutoZone,Education,Course,Australia,Chennai,TRUE,CHARGEBACK REQUESTED,,462789.2035,Negative
2024-05-30,DEBIT,41.99,USD,80.671,-1641954.78,ElectroWorld,Dining,Cafe,UK,Gurugram,TRUE,REPEAT PURCHASE,2025.0,643601.3051000001,Negative
2024-10-18,DEBIT,33.37,AED,20.6941,-593608.93,Paytm Mall,Dining,Cafe,India,Jaipur,TRUE,CASHBACK CREDITED,,131206.80223,Negative
2024-09-21,DEBIT,87.42,USD,82.3036,-2465179.51,BigBasket,Electronics,Mobile,Canada,Mumbai,TRUE,CASHBACK CREDITED,,1367046.33528,Negative
2025-02-24,CREDIT,57.51,USD,79.4537,-975017.93,LocalMart,Education,Books,Australia,Mumbai,TRUE,CASHBACK CREDITED,,868182.6345299999,Negative
2024-12-06,CREDIT,43.04,INR,1.0,-2120376.67,Zomato,Dining,FastFood,Australia,Chennai,TRUE,REPEAT PURCHASE,,8177.599999999999,Negative
2023-12-21,DEBIT,111.86,INR,1.0,-441710.35,ShopEasy,Clothing,Women,Canada,Gurugram,TRUE,,,21253.4,Negative
2025-02-13,CREDIT,41.76,INR,1.0,-2868221.09,Zomato,Entertainment,Concert,UAE,Gurugram,TRUE,PROMO APPLIED,,7934.4,Negative
2024-05-14,DEBIT,11.91,GBP,106.2813,-2582304.63,Swiggy,Entertainment,Streaming,India,Hyderabad,TRUE,MANUAL ADJUSTMENT,,240503.95377,Negative
2023-12-20,DEBIT,13.97,USD,72.048,-1131438.52,Flipkart,Clothing,Women,UAE,Hyderabad,TRUE,REPEAT PURCHASE,2023.0,191237.0064,Negative
2024-06-28,REFUND,151.59,INR,1.0,-1641954.78,LocalMart,Electronics,Accessory,UK,Delhi,TRUE,SUSPECTED FRAUD,,28802.100000000002,Negative
2024-03-13,DEBIT,266.85,INR,1.0,-1271368.07,Paytm Mall,Education,Course,UAE,Mumbai,TRUE,,2022.0,50701.50000000001,Negative
2025-01-23,REFUND,212.71,GBP,97.335,-155509.42,Starbucks,Education,Course,Canada,Noida,TRUE,"CASHBACK CREDITED -- VERIFY
CONTACT SUPPORT",2019.0,3933784.2915000003,Negative
2025-04-20,DEBIT,33.37,USD,82.4542,-976444.62,BigBasket,Automotive,Repair,Australia,Hyderabad,TRUE,"CASHBACK CREDITED -- VERIFY
CONTACT SUPPORT",,522784.36425999994,Negative
2023-09-23,CREDIT,21.95,GBP,93.9114,-1652243.2,Starbucks,Education,Books,India,Noida,TRUE,SUSPECTED FRAUD,2021.0,391657.49370000005,Negative
2024-06-08,DEBIT,19.35,INR,1.0,-2901617.31,Reliance,Education,Course,India,Bengaluru,TRUE,REPEAT PURCHASE,2018.0,3676.5000000000005,Negative
2025-08-04,CREDIT,159.82,USD,74.2505,-2466130.77,LocalMart,Groceries,Supermarket,Canada,Noida,TRUE,REPEAT PURCHASE,,2254675.8329000003,Negative
2024-06-12,CREDIT,10.41,GBP,99.5808,-1641954.78,Starbucks,Education,Course,UK,Chennai,TRUE,CHARGEBACK REQUESTED,,196960.86431999996,Negative
2024-06-18,CREDIT,33.37,USD,74.1723,-1823671.89,Flipkart,Education,Course,UAE,Kolkata,TRUE,SUSPECTED FRAUD,,470274.63369000005,Negative
2023-12-20,DEBIT,12.82,USD,78.9386,-2514468.82,ElectroWorld,Electronics,Accessory,USA,Chennai,TRUE,,,192278.64187999998,Negative
2024-07-05,DEBIT,33.37,INR,1.0,-1284760.12,Amazon,Automotive,Repair,Australia,Hyderabad,TRUE,CASHBACK CREDITED,,6340.299999999999,Negative
2025-02-09,CREDIT,21.41,INR,1.0,-1641954.78,LocalMart,Automotive,Repair,Australia,Jaipur,TRUE,PROMO APPLIED,,4067.9,Negative
2024-07-08,REFUND,27.04,AED,19.5658,-1143250.93,Paytm Mall,Dining,FastFood,Canada,Noida,TRUE,CHARGEBACK REQUESTED,2019.0,100521.25407999998,Negative
2024-08-10,REFUND,7.53,INR,1.0,-2625259.39,Flipkart,Groceries,Supermarket,UAE,Delhi,TRUE,REPEAT PURCHASE,2021.0,1430.7,Negative
2024-01-20,CREDIT,33.37,INR,1.0,9630.77,LocalMart,Dining,Restaurant,India,Hyderabad,TRUE,CHARGEBACK REQUESTED,,6340.299999999999,Positive
2025-07-02,REFUND,26.55,AED,21.6973,-2679258.09,LocalMart,Education,Books,UAE,Mumbai,TRUE,PROMO APPLIED,2025.0,109452.02984999999,Negative
2025-02-22,DEBIT,12.59,USD,80.0191,-2873879.72,Zomato,Health,Clinic,USA,Pune,TRUE,REPEAT PURCHASE,,191413.68910999998,Negative
2023-09-12,DEBIT,132.05,INR,1.0,-2936292.47,ShopEasy,Electronics,Laptop,USA,Jaipur,TRUE,SUSPECTED FRAUD,,25089.500000000004,Negative
2024-09-26,CREDIT,26.76,GBP,103.2226,-2775577.18,Starbucks,Electronics,Accessory,India,Gurugram,TRUE,MONTHLY SUBSCRIPTION,,524824.98744,Negative
2025-05-02,DEBIT,42.0,AED,19.7965,-434795.16,Paytm Mall,Health,Clinic,UK,Delhi,TRUE,MANUAL ADJUSTMENT,,157976.07,Negative
2025-05-08,DEBIT,26.13,USD,72.1281,-1170364.46,Amazon,Dining,Cafe,Canada,Mumbai,TRUE,,2023.0,358094.37807000004,Negative
2025-02-25,CREDIT,76.08,USD,79.3054,-1008377.25,Swiggy,Clothing,Men,Australia,Delhi,TRUE,PROMO APPLIED,2015.0,1146375.4180800002,Negative
2025-02-04,CREDIT,56.62,GBP,108.3485,-2935439.48,Zomato,Health,Pharmacy,India,Mumbai,TRUE,MONTHLY SUBSCRIPTION,2015.0,1165591.4933,Negative
2025-05-02,DEBIT,33.32,AED,,-1641954.78,,Health,Pharmacy,UK,Gurugram,TRUE,MONTHLY SUBSCRIPTION,,,Negative
2024-11-29,DEBIT,101.4,INR,1.0,-986126.23,Zomato,Education,Books,UAE,Jaipur,TRUE,CASHBACK CREDITED,,19266.0,Negative
2024-11-14,CREDIT,6.06,USD,75.6366,-2120355.15,Starbucks,Electronics,Mobile,USA,Noida,TRUE,PROMO APPLIED,,87087.98124,Negative
2023-10-23,CREDIT,33.37,AED,20.9336,-528640.45,Starbucks,Education,Course,Australia,Jaipur,TRUE,MONTHLY SUBSCRIPTION,2017.0,132725.30407999997,Negative
2024-11-21,DEBIT,30.39,USD,77.8394,-554511.1,ElectroWorld,Health,Clinic,Australia,Noida,TRUE,PROMO APPLIED,,449452.47954,Negative
2024-06-08,DEBIT,31.51,INR,1.0,-2680025.78,Amazon,Clothing,Women,UK,Gurugram,TRUE,PROMO APPLIED,,5986.900000000001,Negative
2024-07-11,DEBIT,33.37,INR,1.0,-1288474.34,ShopEasy,Automotive,Fuel,UAE,Jaipur,TRUE,PROMO APPLIED,2019.0,6340.299999999999,Negative
2024-08-06,DEBIT,35.0,AED,20.566,-1641954.78,LocalMart,Automotive,Fuel,Australia,Pune,TRUE,MANUAL ADJUSTMENT,,136763.9,Negative
2023-12-23,DEBIT,53.94,INR,1.0,-2867771.13,Flipkart,Entertainment,Movies,UAE,Noida,TRUE,CHARGEBACK REQUESTED,2018.0,10248.6,Negative
2023-12-04,CREDIT,4.68,USD,72.3627,-1705829.09,Starbucks,Automotive,Repair,India,Gurugram,TRUE,,2016.0,64344.912840000005,Negative
2025-01-21,CREDIT,33.37,AED,19.8043,-1641954.78,BigBasket,Automotive,Fuel,UK,Mumbai,TRUE,MONTHLY SUBSCRIPTION,,125565.20329,Negative
2025-08-08,CREDIT,12.04,USD,78.3085,-1130088.71,Zomato,Entertainment,Movies,USA,Bengaluru,TRUE,MONTHLY SUBSCRIPTION,,179138.52459999998,Negative
2024-10-29,DEBIT,51.46,GBP,95.2761,-1000914.04,Starbucks,Travel,Taxi,USA,Mumbai,TRUE,,,931552.5401399999,Negative
2025-05-07,DEBIT,16.42,USD,79.5977,-1641954.78,ShopEasy,Entertainment,Movies,Canada,Kolkata,TRUE,MANUAL ADJUSTMENT,2019.0,248328.90446000005,Negative
2025-06-03,DEBIT,32.24,INR,1.0,-1641954.78,Amazon,Education,Course,Canada,Mumbai,TRUE,CASHBACK CREDITED,2022.0,6125.6,Negative
2025-08-04,CREDIT,107.69,AED,18.6868,-441532.25,ShopEasy,Utilities,Water,USA,Chennai,TRUE,,,382352.48348000005,Negative
2025-05-06,DEBIT,41.1,USD,72.4401,-1641954.78,Swiggy,Electronics,Mobile,UK,Noida,TRUE,SUSPECTED FRAUD,,565684.7409,Negative
2023-11-12,REFUND,48.1,AED,19.8843,-2121925.86,Paytm Mall,Health,Clinic,Canada,Gurugram,TRUE,CASHBACK CREDITED,,181722.6177,Negative
2023-09-15,CREDIT,32.12,INR,1.0,-2901032.24,BigBasket,Health,Clinic,UK,Mumbai,TRUE,SUSPECTED FRAUD,,6102.799999999999,Negative
2025-02-04,DEBIT,866.28,USD,77.9663,-160795.64,LocalMart,Clothing,Women,Canada,Gurugram,TRUE,SUSPECTED FRAUD,2019.0,12832722.80916,Negative
2025-01-20,CREDIT,23.95,INR,1.0,-280081.52,Reliance,Utilities,Internet,UAE,Gurugram,TRUE,,,4550.5,Negative
2025-04-06,CREDIT,10.31,AED,19.8323,-2867744.16,ElectroWorld,Dining,FastFood,UAE,Hyderabad,TRUE,PROMO APPLIED,,38849.49247,Negative
2024-02-16,REFUND,33.37,USD,72.1227,-2467984.14,LocalMart,Dining,Restaurant,Canada,Bengaluru,TRUE,CHARGEBACK REQUESTED,2019.0,457279.55480999994,Negative
2023-11-18,DEBIT,31.21,INR,1.0,-481231.34,AutoZone,Dining,Cafe,USA,Jaipur,TRUE,MANUAL ADJUSTMENT,,5929.900000000001,Negative
2024-10-02,DEBIT,46.29,INR ,1.0,-529696.79,Paytm Mall,Education,Books,UAE,Chennai,TRUE,MANUAL ADJUSTMENT,,8795.1,Negative
2025-01-30,DEBIT,80.45,USD,77.0856,-1676360.57,Paytm Mall,Automotive,Repair,India,Mumbai,TRUE,MONTHLY SUBSCRIPTION,2018.0,1178291.9388000001,Negative
2024-02-26,CREDIT,13.31,INR,1.0,-2117834.14,Swiggy,Groceries,Supermarket,Canada,Gurugram,TRUE,CHARGEBACK REQUESTED,,2528.9,Negative
2025-06-09,DEBIT,6.56,AED,21.7711,-2824853.57,ShopEasy,Electronics,Accessory,USA,Kolkata,TRUE,MONTHLY SUBSCRIPTION,,27135.49904,Negative
2025-02-12,DEBIT,114.06,USD,77.8039,-1560879.11,LocalMart,Dining,Restaurant,UK,Bengaluru,TRUE,MANUAL ADJUSTMENT,,1686119.43846,Negative
2025-09-02,DEBIT,12.51,INR,1.0,-1935718.1,Paytm Mall,Groceries,Specialty,Australia,Jaipur,TRUE,,,2376.9,Negative
2024-06-06,DEBIT,81.51,AED,18.8845,-1639794.29,ShopEasy,Health,Pharmacy,UAE,Hyderabad,TRUE,CHARGEBACK REQUESTED,,292462.36305,Negative
2024-04-16,DEBIT,44.33,AED,19.6036,-1641954.78,Walmart,Electronics,Laptop,USA,Chennai,TRUE,SUSPECTED FRAUD,,165115.24172,Negative
2024-07-16,DEBIT,31.72,INR ,1.0,-1984427.11,Myntra,Travel,Flight,Australia,Pune,TRUE,MONTHLY SUBSCRIPTION,,6026.8,Negative
2024-07-26,REFUND,33.37,USD,81.4008,-1076551.12,AutoZone,Utilities,Internet,India,Kolkata,TRUE,CHARGEBACK REQUESTED,,516105.49224000005,Negative
2025-05-13,REFUND,33.37,USD,76.2514,-1527411.36,AutoZone,Groceries,Supermarket,Australia,Gurugram,TRUE,REPEAT PURCHASE,,483456.75142000004,Negative
2025-04-03,DEBIT,28.86,USD,76.3349,-1641954.78,BigBasket,Automotive,Fuel,India,Hyderabad,TRUE,CHARGEBACK REQUESTED,,418574.79066000006,Negative
2024-08-06,CREDIT,4.44,USD,74.3703,-2908487.45,LocalMart,Health,Pharmacy,UK,Gurugram,TRUE,PROMO APPLIED,,62738.78508,Negative
2023-11-21,CREDIT,33.37,USD,76.9529,-1288625.77,Flipkart,Travel,Hotel,India,Hyderabad,TRUE,PROMO APPLIED,,487904.47186999995,Negative
2024-03-05,DEBIT,23.58,INR,1.0,-1641954.78,Flipkart,Automotive,Repair,Canada,Noida,TRUE,MONTHLY SUBSCRIPTION,2015.0,4480.2,Negative
2023-12-19,DEBIT,33.37,GBP,98.8789,-2464651.72,Swiggy,Dining,FastFood,UAE,Bengaluru,TRUE,MANUAL ADJUSTMENT,2017.0,626921.88967,Negative
2023-09-27,CREDIT,33.37,AED,19.3283,-1808913.64,LocalMart,Health,Pharmacy,UK,Mumbai,TRUE,MANUAL ADJUSTMENT,2019.0,122547.22048999998,Negative
2025-02-13,DEBIT,39.49,INR,1.0,-1131249.42,Amazon,Groceries,Specialty,India,Gurugram,TRUE,CASHBACK CREDITED,,7503.1,Negative
2024-02-24,CREDIT,33.37,USD,76.0964,-2579372.26,Starbucks,Entertainment,Movies,USA,Mumbai,TRUE,CASHBACK CREDITED,,482474.00492,Negative
2024-06-06,CREDIT,47.4,INR,1.0,-2901112.67,Swiggy,Dining,Restaurant,UAE,Kolkata,TRUE,CHARGEBACK REQUESTED,,9006.0,Negative
2023-12-11,DEBIT,44.33,INR,1.0,-2119575.49,Walmart,Automotive,Fuel,USA,Hyderabad,TRUE,SUSPECTED FRAUD,2015.0,8422.699999999999,Negative
2024-10-16,DEBIT,48.04,USD ,76.3269,-1641954.78,AutoZone,Entertainment,Movies,Australia,Kolkata,TRUE,CASHBACK CREDITED,,696681.41244,Negative
2025-02-20,REFUND,13.7,USD,77.1552,-1641954.78,Reliance,Entertainment,Concert,UK,Gurugram,TRUE,MONTHLY SUBSCRIPTION,2016.0,200834.98559999999,Negative
2023-12-19,DEBIT,33.37,INR,1.0,-163755.11,Myntra,Travel,Taxi,USA,Pune,TRUE,PROMO APPLIED,2023.0,6340.299999999999,Negative
2024-12-04,DEBIT,54.05,USD,74.664,-441485.77,ElectroWorld,Entertainment,Movies,UAE,Kolkata,TRUE,CASHBACK CREDITED,,766761.948,Negative
2025-07-11,CREDIT,4.85,USD,76.3083,-2118169.36,ElectroWorld,Education,Course,Canada,Jaipur,TRUE,CHARGEBACK REQUESTED,,70318.09845,Negative
2025-07-05,DEBIT,17.78,GBP,105.3954,-144850.68,Walmart,Utilities,Internet,India,Mumbai,TRUE,CHARGEBACK REQUESTED,2020.0,356046.74027999997,Negative
2024-01-02,CREDIT,66.59,USD,82.4189,-987576.75,Paytm Mall,Dining,Restaurant,India,Kolkata,TRUE,REPEAT PURCHASE,,1042772.1646899999,Negative
2024-03-17,DEBIT,6.86,INR,1.0,-1641954.78,Swiggy,Health,Clinic,India,Mumbai,TRUE,MANUAL ADJUSTMENT,2018.0,1303.4,Negative
2024-12-04,DEBIT,33.37,USD,77.2428,-1078375.8,AutoZone,Groceries,Specialty,Australia,Pune,TRUE,,2018.0,489742.52483999997,Negative
2024-11-14,DEBIT,61.13,INR,1.0,-1560822.08,AutoZone,Travel,Taxi,UAE,Jaipur,TRUE,SUSPECTED FRAUD,2026.0,11614.7,Negative
2023-09-18,DEBIT,79.76,INR,1.0,-1641977.29,Paytm Mall,Travel,Flight,UAE,Noida,TRUE,CHARGEBACK REQUESTED,,15154.400000000001,Negative
2025-02-28,REFUND,33.37,USD,76.7557,-1641954.78,ShopEasy,Clothing,Women,India,Kolkata,TRUE,MONTHLY SUBSCRIPTION,2023.0,486654.16471,Negative
2025-07-14,DEBIT,100.63,INR,1.0,-1641954.78,BigBasket,Health,Pharmacy,Canada,Gurugram,TRUE,CASHBACK CREDITED,2015.0,19119.7,Negative
2024-02-27,REFUND,52.19,INR,1.0,-1641954.78,Amazon,Travel,Taxi,UAE,Gurugram,TRUE,REPEAT PURCHASE,,9916.1,Negative
